Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Netherlands,17
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Nigeria,1
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Norway,1404
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Philippines,186
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Singapore,234
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Switzerland,100
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Thailand,289
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,T?rkiye,260
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,United States,85812
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Viet Nam,3629
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Australia,11
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Austria,11638
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Belgium,5715
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Brazil,2
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Bulgaria,2
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Canada,1132
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Chile,2
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,China,694895
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Colombia,21
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Czech Republic,40
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Denmark,9092
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Estonia,53
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Finland,1804
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,France,15974
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Germany,95717
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Hong Kong,61491
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Hungary,4
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,India,31
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Ireland,3013
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Israel,10094
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Italy,15572
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Japan,153612
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Korea Republic of,86230
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Lithuania,4
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Macao,1151
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Malaysia,54180
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Maldives,19
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Netherlands,1510
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Norway,6
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Philippines,43799
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Poland,16
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Portugal,53
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Russian Federation,515
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Saudi Arabia,5
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Singapore,64358
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Spain,1740
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Sweden,5431
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Switzerland,1356
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Thailand,3749
Exports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,T?rkiye,130
