reporter_code,total_exports,year
CAN,497094.734,2019
CAN,209442604.557,2019
CAN,1131552362.409,2019
CAN,73618706.499,2019
CAN,1218026378.056,2019
CAN,2365780.581,2019
CAN,3173974.246,2019
CAN,131207440.726,2019
CAN,115145786.052,2019
CAN,8053229.846,2019
CAN,559676351.602,2019
CAN,14924120703.426,2019
CAN,95501397.176,2019
CAN,335692358007.925,2019
CAN,43300544.092,2019
CAN,60010830.283,2019
CAN,7675647.315,2019
CAN,41450452.7,2019
CAN,78799.007,2019
CAN,416014.287,2019
CAN,8774745.357,2019
CAN,17885989.229,2019
CHN,599799484,2019
CHN,601093182,2019
CHN,6941782829,2019
CHN,2553569,2019
CHN,2055727417,2019
CHN,71936357,2019
CHN,616391737,2019
CHN,6884154384,2019
CHN,48229553588,2019
CHN,3047771143,2019
CHN,355470072,2019
CHN,1484146634,2019
CHN,17323286473,2019
CHN,223093382,2019
CHN,156135079,2019
CHN,18234318679,2019
CHN,36894203,2019
CHN,10910415,2019
CHN,854148191,2019
CHN,115164881,2019
CHN,301458570,2019
CHN,35539063912,2019
CHN,116828558,2019
CHN,98256690,2019
CHN,10361648,2019
CHN,649865127,2019
CHN,1554787822,2019
CHN,12310992449,2019
CHN,66388410,2019
CHN,1799069200,2019
CHN,7981530879,2019
CHN,1670169625,2019
CHN,36931958466,2019
CHN,64166991,2019
CHN,38305754,2019
CHN,25660365,2019
CHN,4090606391,2019
CHN,279106802,2019
CHN,14711838585,2019
CHN,9234149969,2019
CHN,73684891,2019
CHN,435095402,2019
CHN,2076795634,2019
CHN,42652721,2019
CHN,1521332211,2019
CHN,1396821033,2019
CHN,790926142,2019
CHN,580809891,2019
CHN,12973042719,2019
CHN,2152518547,2019
CHN,6749860910,2019
CHN,33749008,2019
CHN,2390427684,2019
CHN,3628574265,2019
CHN,1001251496,2019
CHN,113204451,2019
CHN,2323499016,2019
CHN,48542506,2019
CHN,922324808,2019
CHN,4150653,2019
CHN,350294094,2019
CHN,3044486384,2019
CHN,33331864152,2019
CHN,99674062,2019
CHN,2206385569,2019
CHN,377261997,2019
CHN,1401748362,2019
CHN,512480767,2019
CHN,82144356,2019
CHN,79789085186,2019
CHN,4903256486,2019
CHN,4451103,2019
CHN,20159850,2019
CHN,7740115331,2019
CHN,1007837,2019
CHN,14589898,2019
CHN,2399670445,2019
CHN,1717429222,2019
CHN,272914331,2019
CHN,560834575,2019
CHN,146134,2019
CHN,940460276,2019
CHN,278825297951,2019
CHN,6472855061,2019
CHN,114872033,2019
CHN,45648736997,2019
CHN,9589986041,2019
CHN,9461322795,2019
CHN,3294170794,2019
CHN,9614963788,2019
CHN,33519784047,2019
CHN,2041569324,2019
CHN,670704363,2019
CHN,143244518385,2019
CHN,12729100679,2019
CHN,3677916011,2019
CHN,5009266265,2019
CHN,2573789925,2019
CHN,110974410436,2019
CHN,3836319571,2019
