iso3_i,iso3_j,n_votes,n_agree,unga_sim
CZE,IRL,90,75,0.8333333333333334
CZE,ISR,88,43,0.48863636363636365
CZE,ITA,90,85,0.9444444444444444
CZE,JPN,90,71,0.7888888888888889
CZE,KOR,90,75,0.8333333333333334
CZE,MEX,90,47,0.5222222222222223
CZE,MYS,90,45,0.5
CZE,NLD,90,85,0.9444444444444444
CZE,NOR,90,83,0.9222222222222223
CZE,PHL,90,47,0.5222222222222223
CZE,SGP,90,46,0.5111111111111111
CZE,SWE,90,78,0.8666666666666667
CZE,THA,90,47,0.5222222222222223
CZE,USA,90,41,0.45555555555555555
CZE,VNM,88,41,0.4659090909090909
DEU,AUT,90,78,0.8666666666666667
DEU,BEL,90,87,0.9666666666666667
DEU,CAN,90,68,0.7555555555555555
DEU,CHE,89,76,0.8539325842696629
DEU,CHN,88,41,0.4659090909090909
DEU,CZE,90,88,0.9777777777777777
DEU,DNK,90,89,0.9888888888888889
DEU,FIN,90,79,0.8777777777777778
DEU,FRA,90,81,0.9
DEU,GBR,90,75,0.8333333333333334
DEU,HUN,90,85,0.9444444444444444
DEU,IND,90,42,0.4666666666666667
DEU,IRL,90,76,0.8444444444444444
DEU,ISR,88,41,0.4659090909090909
DEU,ITA,90,87,0.9666666666666667
DEU,JPN,90,72,0.8
DEU,KOR,90,75,0.8333333333333334
DEU,MEX,90,48,0.5333333333333333
DEU,MYS,90,45,0.5
DEU,NLD,90,87,0.9666666666666667
DEU,NOR,90,85,0.9444444444444444
DEU,PHL,90,47,0.5222222222222223
DEU,SGP,90,46,0.5111111111111111
DEU,SWE,90,79,0.8777777777777778
DEU,THA,90,47,0.5222222222222223
DEU,USA,90,39,0.43333333333333335
DEU,VNM,88,41,0.4659090909090909
DNK,AUT,90,79,0.8777777777777778
DNK,BEL,90,88,0.9777777777777777
DNK,CAN,90,67,0.7444444444444445
DNK,CHE,89,77,0.8651685393258427
DNK,CHN,88,41,0.4659090909090909
DNK,CZE,90,87,0.9666666666666667
DNK,DEU,90,89,0.9888888888888889
DNK,FIN,90,80,0.8888888888888888
DNK,FRA,90,80,0.8888888888888888
DNK,GBR,90,74,0.8222222222222222
DNK,HUN,90,86,0.9555555555555556
DNK,IND,90,42,0.4666666666666667
DNK,IRL,90,77,0.8555555555555555
DNK,ISR,88,40,0.45454545454545453
DNK,ITA,90,88,0.9777777777777777
DNK,JPN,90,73,0.8111111111111111
DNK,KOR,90,76,0.8444444444444444
DNK,MEX,90,48,0.5333333333333333
DNK,MYS,90,45,0.5
DNK,NLD,90,88,0.9777777777777777
DNK,NOR,90,86,0.9555555555555556
DNK,PHL,90,47,0.5222222222222223
DNK,SGP,90,46,0.5111111111111111
DNK,SWE,90,80,0.8888888888888888
DNK,THA,90,47,0.5222222222222223
DNK,USA,90,38,0.4222222222222222
DNK,VNM,88,41,0.4659090909090909
FIN,AUT,90,81,0.9
FIN,BEL,90,82,0.9111111111111111
FIN,CAN,90,66,0.7333333333333333
FIN,CHE,89,83,0.9325842696629213
FIN,CHN,88,42,0.4772727272727273
FIN,CZE,90,78,0.8666666666666667
FIN,DEU,90,79,0.8777777777777778
FIN,DNK,90,80,0.8888888888888888
FIN,FRA,90,74,0.8222222222222222
FIN,GBR,90,68,0.7555555555555555
FIN,HUN,90,77,0.8555555555555555
FIN,IND,90,44,0.4888888888888889
FIN,IRL,90,79,0.8777777777777778
FIN,ISR,88,35,0.3977272727272727
FIN,ITA,90,80,0.8888888888888888
FIN,JPN,90,79,0.8777777777777778
FIN,KOR,90,75,0.8333333333333334
FIN,MEX,90,51,0.5666666666666667
FIN,MYS,90,47,0.5222222222222223
FIN,NLD,90,80,0.8888888888888888
FIN,NOR,90,80,0.8888888888888888
FIN,PHL,90,49,0.5444444444444444
FIN,SGP,90,49,0.5444444444444444
FIN,SWE,90,84,0.9333333333333333
FIN,THA,90,49,0.5444444444444444
FIN,USA,90,33,0.36666666666666664
FIN,VNM,88,45,0.5113636363636364
FRA,AUT,90,71,0.7888888888888889
FRA,BEL,90,81,0.9
FRA,CAN,90,60,0.6666666666666666
FRA,CHE,89,71,0.797752808988764
FRA,CHN,88,37,0.42045454545454547
FRA,CZE,90,81,0.9
FRA,DEU,90,81,0.9
FRA,DNK,90,80,0.8888888888888888
FRA,FIN,90,74,0.8222222222222222
FRA,GBR,90,81,0.9
FRA,HUN,90,78,0.8666666666666667
FRA,IND,90,38,0.4222222222222222
FRA,IRL,90,71,0.7888888888888889
FRA,ISR,88,43,0.48863636363636365
FRA,ITA,90,80,0.8888888888888888
FRA,JPN,90,68,0.7555555555555555
FRA,KOR,90,71,0.7888888888888889
FRA,MEX,90,45,0.5
FRA,MYS,90,41,0.45555555555555555
FRA,NLD,90,80,0.8888888888888888
FRA,NOR,90,78,0.8666666666666667
FRA,PHL,90,43,0.4777777777777778
FRA,SGP,90,42,0.4666666666666667
FRA,SWE,90,74,0.8222222222222222
FRA,THA,90,43,0.4777777777777778
FRA,USA,90,43,0.4777777777777778
FRA,VNM,88,37,0.42045454545454547
GBR,AUT,90,65,0.7222222222222222
GBR,BEL,90,75,0.8333333333333334
GBR,CAN,90,60,0.6666666666666666
GBR,CHE,89,66,0.7415730337078652
GBR,CHN,88,36,0.4090909090909091
GBR,CZE,90,75,0.8333333333333334
GBR,DEU,90,75,0.8333333333333334
GBR,DNK,90,74,0.8222222222222222
GBR,FIN,90,68,0.7555555555555555
GBR,FRA,90,81,0.9
GBR,HUN,90,72,0.8
GBR,IND,90,37,0.4111111111111111
GBR,IRL,90,65,0.7222222222222222
GBR,ISR,88,48,0.5454545454545454
GBR,ITA,90,74,0.8222222222222222
GBR,JPN,90,62,0.6888888888888889
GBR,KOR,90,65,0.7222222222222222
GBR,MEX,90,43,0.4777777777777778
GBR,MYS,90,40,0.4444444444444444
GBR,NLD,90,74,0.8222222222222222
GBR,NOR,90,72,0.8
GBR,PHL,90,42,0.4666666666666667
GBR,SGP,90,41,0.45555555555555555
GBR,SWE,90,68,0.7555555555555555
GBR,THA,90,42,0.4666666666666667
GBR,USA,90,48,0.5333333333333333
GBR,VNM,88,36,0.4090909090909091
HUN,AUT,90,76,0.8444444444444444
HUN,BEL,90,84,0.9333333333333333
HUN,CAN,90,67,0.7444444444444445
HUN,CHE,89,74,0.8314606741573034
HUN,CHN,88,39,0.4431818181818182
HUN,CZE,90,87,0.9666666666666667
HUN,DEU,90,85,0.9444444444444444
HUN,DNK,90,86,0.9555555555555556
HUN,FIN,90,77,0.8555555555555555
HUN,FRA,90,78,0.8666666666666667
HUN,GBR,90,72,0.8
HUN,IND,90,41,0.45555555555555555
HUN,IRL,90,74,0.8222222222222222
HUN,ISR,88,42,0.4772727272727273
HUN,ITA,90,84,0.9333333333333333
HUN,JPN,90,70,0.7777777777777778
HUN,KOR,90,74,0.8222222222222222
HUN,MEX,90,45,0.5
HUN,MYS,90,44,0.4888888888888889
HUN,NLD,90,84,0.9333333333333333
HUN,NOR,90,82,0.9111111111111111
HUN,PHL,90,45,0.5
HUN,SGP,90,45,0.5
HUN,SWE,90,77,0.8555555555555555
HUN,THA,90,45,0.5
HUN,USA,90,40,0.4444444444444444
HUN,VNM,88,40,0.45454545454545453
IND,AUT,90,45,0.5
IND,BEL,90,43,0.4777777777777778
IND,CAN,90,31,0.34444444444444444
IND,CHE,89,43,0.48314606741573035
IND,CHN,88,72,0.8181818181818182
IND,CZE,90,42,0.4666666666666667
IND,DEU,90,42,0.4666666666666667
IND,DNK,90,42,0.4666666666666667
IND,FIN,90,44,0.4888888888888889
IND,FRA,90,38,0.4222222222222222
IND,GBR,90,37,0.4111111111111111
IND,HUN,90,41,0.45555555555555555
IND,IRL,90,45,0.5
IND,ISR,88,18,0.20454545454545456
IND,ITA,90,42,0.4666666666666667
IND,JPN,90,51,0.5666666666666667
IND,KOR,90,48,0.5333333333333333
IND,MEX,90,65,0.7222222222222222
IND,MYS,90,73,0.8111111111111111
IND,NLD,90,44,0.4888888888888889
IND,NOR,90,42,0.4666666666666667
IND,PHL,90,71,0.7888888888888889
IND,SGP,90,74,0.8222222222222222
IND,SWE,90,43,0.4777777777777778
IND,THA,90,73,0.8111111111111111
IND,USA,90,18,0.2
IND,VNM,88,76,0.8636363636363636
IRL,AUT,90,86,0.9555555555555556
IRL,BEL,90,79,0.8777777777777778
IRL,CAN,90,62,0.6888888888888889
IRL,CHE,89,79,0.8876404494382022
IRL,CHN,88,43,0.48863636363636365
IRL,CZE,90,75,0.8333333333333334
IRL,DEU,90,76,0.8444444444444444
IRL,DNK,90,77,0.8555555555555555
IRL,FIN,90,79,0.8777777777777778
IRL,FRA,90,71,0.7888888888888889
IRL,GBR,90,65,0.7222222222222222
IRL,HUN,90,74,0.8222222222222222
IRL,IND,90,45,0.5
IRL,ISR,88,33,0.375
IRL,ITA,90,79,0.8777777777777778
IRL,JPN,90,74,0.8222222222222222
IRL,KOR,90,73,0.8111111111111111
IRL,MEX,90,60,0.6666666666666666
IRL,MYS,90,53,0.5888888888888889
IRL,NLD,90,77,0.8555555555555555
IRL,NOR,90,79,0.8777777777777778
IRL,PHL,90,53,0.5888888888888889
IRL,SGP,90,53,0.5888888888888889
IRL,SWE,90,84,0.9333333333333333
IRL,THA,90,55,0.6111111111111112
IRL,USA,90,30,0.3333333333333333
IRL,VNM,88,49,0.5568181818181818
ISR,AUT,88,34,0.38636363636363635
