layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,reporter_rank,reporter_export_share,reporter_selection_reason
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",THA,Thailand,62790237.865,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",GBR,United Kingdom,7794680.17,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",USA,USA,270215375.717,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",BEL,Belgium,7734208.611,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",CHN,China,133139870.771,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",FRA,France,1587877.36,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",DEU,Germany,21831060.536,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",JPN,Japan,5668591.536,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",KOR,Rep. of Korea,1483483.1,1,0.20348341453719776,coverage_threshold
layer2_backend,854130,"Electrical apparatus; thyristors, diacs and triacs, other than photosensitive devices",2022,HKG,"China, Hong Kong SAR",MEX,Mexico,6826561.52,1,0.20348341453719776,coverage_threshold
